2020-02-05 13:47:11 status half-installed libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:12 status half-installed libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:12 status unpacked libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:12 status unpacked libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:13 install linux-modules-5.3.0-28-generic:amd64 <none> 5.3.0-28.30~18.04.1
2020-02-05 13:47:13 status half-installed linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:23 status unpacked linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:23 status unpacked linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:24 install linux-image-5.3.0-28-generic:amd64 <none> 5.3.0-28.30~18.04.1
2020-02-05 13:47:24 status half-installed linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:25 status unpacked linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:25 status unpacked linux-image-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:26 install linux-modules-extra-5.3.0-28-generic:amd64 <none> 5.3.0-28.30~18.04.1
2020-02-05 13:47:26 status half-installed linux-modules-extra-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:42 status unpacked linux-modules-extra-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:42 status unpacked linux-modules-extra-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:47:42 upgrade linux-generic-hwe-18.04:amd64 5.3.0.26.95 5.3.0.28.96
2020-02-05 13:47:42 status half-configured linux-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:42 status unpacked linux-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:43 status half-installed linux-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:43 status half-installed linux-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:43 status unpacked linux-generic-hwe-18.04:amd64 5.3.0.28.96
2020-02-05 13:47:44 status unpacked linux-generic-hwe-18.04:amd64 5.3.0.28.96
2020-02-05 13:47:44 upgrade linux-image-generic-hwe-18.04:amd64 5.3.0.26.95 5.3.0.28.96
2020-02-05 13:47:44 status half-configured linux-image-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:44 status unpacked linux-image-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:44 status half-installed linux-image-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:44 status half-installed linux-image-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:47:45 status unpacked linux-image-generic-hwe-18.04:amd64 5.3.0.28.96
2020-02-05 13:47:45 status unpacked linux-image-generic-hwe-18.04:amd64 5.3.0.28.96
2020-02-05 13:47:46 install linux-headers-5.3.0-28:all <none> 5.3.0-28.30~18.04.1
2020-02-05 13:47:46 status half-installed linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1
2020-02-05 13:48:09 status unpacked linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1
2020-02-05 13:48:09 status unpacked linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1
2020-02-05 13:48:09 install linux-headers-5.3.0-28-generic:amd64 <none> 5.3.0-28.30~18.04.1
2020-02-05 13:48:09 status half-installed linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:27 status unpacked linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:27 status unpacked linux-headers-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:27 upgrade linux-headers-generic-hwe-18.04:amd64 5.3.0.26.95 5.3.0.28.96
2020-02-05 13:48:27 status half-configured linux-headers-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:48:27 status unpacked linux-headers-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:48:27 status half-installed linux-headers-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:48:27 status half-installed linux-headers-generic-hwe-18.04:amd64 5.3.0.26.95
2020-02-05 13:48:28 status unpacked linux-headers-generic-hwe-18.04:amd64 5.3.0.28.96
2020-02-05 13:48:28 status unpacked linux-headers-generic-hwe-18.04:amd64 5.3.0.28.96
2020-02-05 13:48:28 upgrade linux-libc-dev:amd64 4.15.0-74.84 4.15.0-76.86
2020-02-05 13:48:28 status half-configured linux-libc-dev:amd64 4.15.0-74.84
2020-02-05 13:48:29 status unpacked linux-libc-dev:amd64 4.15.0-74.84
2020-02-05 13:48:29 status half-installed linux-libc-dev:amd64 4.15.0-74.84
2020-02-05 13:48:32 status half-installed linux-libc-dev:amd64 4.15.0-74.84
2020-02-05 13:48:32 status unpacked linux-libc-dev:amd64 4.15.0-76.86
2020-02-05 13:48:32 status unpacked linux-libc-dev:amd64 4.15.0-76.86
2020-02-05 13:48:33 startup packages configure
2020-02-05 13:48:33 configure linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1 <none>
2020-02-05 13:48:33 status unpacked linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:33 status half-configured linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:34 status installed linux-modules-5.3.0-28-generic:amd64 5.3.0-28.30~18.04.1
2020-02-05 13:48:35 configure linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1 <none>
2020-02-05 13:48:35 status unpacked linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1
2020-02-05 13:48:35 status half-configured linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1
2020-02-05 13:48:35 status installed linux-headers-5.3.0-28:all 5.3.0-28.30~18.04.1
2020-02-05 13:48:35 configure sudo:amd64 1.8.21p2-3ubuntu1.2 <none>
2020-02-05 13:48:35 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:48:35 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:48:36 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:48:36 status unpacked sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:48:36 status half-configured sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:48:36 status installed sudo:amd64 1.8.21p2-3ubuntu1.2
2020-02-05 13:48:36 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1 <none>
2020-02-05 13:48:36 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
